recruit_id,name,year,intent,height,weight,entry_tier
f58341e4-2251-4cdf-b2ea-666343b00232,Bowen Shepard,JH,C,75,188,BelowAverage
79af3d30-37a4-4cdb-8dd6-fe88e0703760,Max Herman,FR,PF,75,196,Average
c01262b2-0464-48b7-940d-212cc649c67a,Abelardo Bates,JH,C,75,187,BelowAverage
9268d698-eebf-47c7-be7b-38949c1fd066,Saint Kim,JR,PF,75,199,Average
5511748a-b4ff-48e3-b932-8a3a7e2faf82,Kylo Valdez,JH,C,79,222,Average
376b3812-7c28-485c-ac82-ccbf84e2438b,Jordan Carroll,SO,PF,73,189,Good
c61b472d-9e88-475f-98e3-ac715352637c,Walter Strong,SO,C,81,222,Good
80eea3fb-00a3-456a-b5c9-65ecedea375e,Armand Singh,JH,PF,72,185,Good
56caadaf-e892-4d42-a2bc-a50e2fd98d20,Javion Johns,JH,C,75,197,Great
75752496-9022-4ef2-824c-4018147a4adf,Karson Howe,JH,PF,78,204,Average
7f6aabcc-1c80-4033-a150-529339ba05e4,Abram Robbins,JH,C,78,204,Average
047e467b-399b-444b-a8aa-d5cfd4c3c3f2,Haven Avery,JR,PF,76,201,Poor
4618bfbe-2c6d-4002-8431-fe6ec04ada7e,Coleman Lam,JH,C,76,200,Great
29bef4b2-570e-4d7d-bbc9-8cad3327ec0d,Gaylord White,FR,PF,79,225,Good
01a2e950-e149-4a7a-9459-bbb976f15d01,Rolland Pratt,JH,C,78,223,Average
f6ba425b-f960-48bb-af54-bc1c730504ff,Nate Byrd,JR,PF,80,233,Elite
3a86a184-afb3-498c-b9d7-70c67cbc3f90,Caesar Berry,SO,C,78,218,Average
98850d67-b4ad-4f57-b4ed-18a130dafa71,Bodie Galindo,SO,PF,77,204,Good
55c2e717-3f3f-40db-9317-da45c1b8bc3a,Stephan Fitzpatrick,FR,C,76,211,Good
80ebb964-0daa-43ae-a1bb-f5fb639f20c8,Rome Orr,JH,PF,72,176,Average
939e0288-633f-41c4-8986-ece97a00e91f,Jerrod Hoover,JR,C,79,209,Average
9d0e4d27-d52b-419c-a49b-e57246f4e2bf,Hosea Lucas,JH,PF,79,215,Great
d77a9d51-337c-48bc-b85e-c9fb5a10dcfe,Jackson Sandoval,JR,C,78,216,Good
c2396877-e343-4624-9a26-d077d5ec02a7,Kelley Gonzalez,SO,PF,83,247,Poor
7229363f-db3f-4c61-bada-4a171d90706b,Moses Cervantes,JH,C,77,199,Great
c998cb2c-9684-4a22-8e81-8d86ca98f087,Sean Bradley,SO,PF,77,205,BelowAverage
a65a9b1b-087c-4a21-889b-6cc2b28866ad,Colton Anderson,JH,C,78,213,Average
f5c99e21-b28c-4171-8957-2aa857a0e6c0,Cristian Aquaviva,JH,PF,72,173,BelowAverage
307f3a0a-bbe5-4c98-892d-9fc9ca5e9526,Presley Weber,FR,C,77,201,Great
afedb686-9f4c-49a8-821b-238897f6a648,Ronin Rice,JH,PF,77,204,Great
a2549a8e-5830-46fc-8a5e-ac81c4a1a9d4,Timothy Jones,JH,C,78,214,Average
c7dec675-b67a-4bdb-9ed2-728001926a9b,Conrad Santiago,FR,PF,75,188,Average
4a405283-f423-4494-9a02-9ac182c2a27f,Jeremie Byrd,JR,C,82,229,BelowAverage
ec5a4db6-97f4-40b8-a64a-41cced06ead5,Erick Hubbard,JR,PF,77,208,Average
