recruit_id,name,old_year,new_year,intent,tier,old_h,new_h,dh,old_w,new_w,dw,old_band,new_band,crossed,bands_crossed
c24d4453-003b-4cef-a0e6-df027d941ae1,Dee Mays,JH,JH,PG,Poor,74,64,-10.0,187,134,-53.0,guard,guard,0,0
2acfa3f4-1beb-4693-89f3-89b4a51da919,Morgan Flores,JH,JH,SG,Average,66,76,10.0,154,204,50.0,guard,wing,1,1
cb064738-e8cd-45d0-be7d-eb87678b5fdd,Cesar Avery,JH,JR,PF,Average,70,79,9.0,172,228,56.0,guard,big,1,2
fb916d84-f8f6-4e79-b5cf-a0bae732bbc6,Cordell Page,JH,JH,SF,Average,66,75,9.0,156,210,54.0,guard,wing,1,1
647f472f-2bb1-4f20-986d-36f75c1df8cd,Quinn Mosley,JH,JH,SF,Average,78,70,-8.0,228,172,-56.0,big,guard,1,2
74dd9e84-8571-4c02-a9e0-e40310b64107,Justin Lee,JH,FR,SG,Great,77,70,-7.0,231,171,-60.0,big,guard,1,2
1267621e-0a18-443e-9f3d-6defc483da24,Verne Wall,JH,JH,PG,Good,72,64,-8.0,179,127,-52.0,guard,guard,0,0
46c7bbaa-6112-4279-a6bc-0424274caea5,Sage Harrington,JH,JH,SF,Average,76,67,-9.0,200,159,-41.0,wing,guard,1,1
8cf605bc-876f-4851-8606-2f2ab9ca5dbf,Bert Rowland,JH,JR,C,BelowAverage,73,81,8.0,191,238,47.0,guard,big,1,2
9c248f13-bdff-40ce-a868-dd365a56507d,Buster Maldonado,JH,JH,PG,Poor,73,64,-9.0,173,139,-34.0,guard,guard,0,0
1c72618c-1b57-4d2d-87ff-66348b99cf66,Eli Goodwin,JH,JH,PF,BelowAverage,74,67,-7.0,194,148,-46.0,guard,guard,0,0
b7ec5d4d-26ee-4411-b155-3659e5fe6c13,Nick Guerrero,JH,SO,C,Average,68,75,7.0,163,208,45.0,guard,wing,1,1
76a5d9d0-2039-4c5d-9186-420e5694e53b,Merritt Dudley,JH,JR,SG,Elite,71,77,6.0,168,219,51.0,guard,big,1,2
