_id,name,first_name,last_name,team,team_id,jersey,height_in,weight_lb,year,st,ag,rt
eaae738e-6170-4191-b6bf-f6cf4a291b30,Jimmy Pilot,Jimmy,Pilot,Morristown,69a6fcb68d2c56aa82e48a56,22,74,214,sophomore,15,5,35
beffda50-d288-4659-a0e8-d95523597635,Aaron Mingus,Aaron,Mingus,Ocean City,69a6fcb68d2c56aa82e48a53,32,74,205,senior,75,95,83
33971d07-6f6d-459c-b24f-a0f9ce3cd477,Forrest Rutherford,Forrest,Rutherford,Ocean City,69a6fcb68d2c56aa82e48a53,41,70,168,junior,11,95,37
4e0e13d8-ae9a-4bc1-a852-86ff10c9292f,Ernie Dimes,Ernie,Dimes,Morristown,69a6fcb68d2c56aa82e48a56,13,70,180,freshman,8,10,25
30b4fb3d-6a8a-4ea8-a62e-aa4c1614bf0a,Andre Dawkins,Andre,Dawkins,South Lancaster,69a6fcb68d2c56aa82e48a59,55,75,205,freshman,26,7,41
728177e8-4742-4cb0-97cf-86497685819e,Tommy La,Tommy,La,Ocean City,69a6fcb68d2c56aa82e48a53,11,68,169,senior,14,88,78
26e15606-2eca-4616-840a-d14b87174395,Roger Henrich,Roger,Henrich,Lancaster,69a6fcb68d2c56aa82e48a54,50,84,260,senior,105,28,99
670a92ad-fea1-44c9-b8c8-c1a0c46dc7ef,Derrick Smith,Derrick,Smith,Little York,69a6fcb68d2c56aa82e48a58,10,70,177,senior,10,95,80
a3860d21-e625-4b2a-bd76-51c5ff5958af,Donovan Cotton,Donovan,Cotton,Little York,69a6fcb68d2c56aa82e48a58,40,74,207,junior,45,33,47
cf39c8b7-050d-4707-bdf6-5d3e20c0b777,Darnell Love,Darnell,Love,Xavien,69a6fcb68d2c56aa82e48a57,3,72,190,senior,44,74,78
bd2a1128-80b1-48e9-be21-835031805b49,Pete Del Fino,Pete,Del Fino,Bentley-Truman,69a6fcb68d2c56aa82e48a52,30,72,181,senior,15,12,35
83608be4-5065-4df6-9276-5e69376c15aa,Ervin Miller,Ervin,Miller,Lancaster,69a6fcb68d2c56aa82e48a54,5,70,177,senior,34,77,77
b17a21bc-790e-4893-82d5-362dd8ec19a2,Timmy Depaz,Timmy,Depaz,Lancaster,69a6fcb68d2c56aa82e48a54,1,69,158,sophomore,25,49,44
3ace59bd-a5ac-4639-9549-c35d5e1d00c6,DeAnthony Hayes III,DeAnthony,Hayes III,South Lancaster,69a6fcb68d2c56aa82e48a59,30,69,172,sophomore,21,47,35
efc6434e-25d0-4f55-9fb8-a3023cbf0371,Nolan Fortress,Nolan,Fortress,Four Corners,69a6fcb68d2c56aa82e48a55,26,71,180,senior,9,47,37
2a5439f6-4e6d-4f0e-90f5-cb7f56e94ddb,Victor LargeFoot,Victor,LargeFoot,Little York,69a6fcb68d2c56aa82e48a58,7,73,195,senior,66,86,72
db212d09-17de-4c97-a510-d2691a00fce9,Cliff Jones Jr,Cliff,Jones Jr,Ocean City,69a6fcb68d2c56aa82e48a53,33,70,173,junior,12,75,40
24a33578-d7ff-46a2-b48b-2143614122ed,Sid Bodin,Sid,Bodin,Xavien,69a6fcb68d2c56aa82e48a57,14,70,175,junior,11,22,57
90fd9806-3d58-432d-9a77-57cd478a2e52,Thurman Fullenkamp,Thurman,Fullenkamp,South Lancaster,69a6fcb68d2c56aa82e48a59,51,74,207,senior,42,19,44
8785cbe5-da8f-4c37-9b2e-54bfd8b029bb,Kermit Prospect,Kermit,Prospect,Bentley-Truman,69a6fcb68d2c56aa82e48a52,2,82,260,junior,83,30,86
c4d4afa3-c08a-47db-92b7-dd882f03000e,Jay Giancola,Jay,Giancola,Four Corners,69a6fcb68d2c56aa82e48a55,21,70,179,junior,38,74,71
560d1d61-4ddb-4ac8-b68b-00181e488c48,Joey Giblin,Joey,Giblin,Lancaster,69a6fcb68d2c56aa82e48a54,6,70,178,junior,24,39,32
2e0089ee-a3e6-4c2d-8822-170fbbd335ac,Kwame Castor,Kwame,Castor,Morristown,69a6fcb68d2c56aa82e48a56,54,77,239,senior,84,11,74
b7b3a416-ae6c-49bf-a5c5-0559e9be463c,Tyrone Celaya,Tyrone,Celaya,South Lancaster,69a6fcb68d2c56aa82e48a59,69,76,216,senior,90,93,84
8387538a-1a76-451d-9c08-9c812bf65fdc,Kent McManus,Kent,McManus,Bentley-Truman,69a6fcb68d2c56aa82e48a52,4,70,178,sophomore,13,12,43
2bba8939-29f2-456d-9d6e-715bff328f3c,Jonathan Fabrizio,Jonathan,Fabrizio,Ocean City,69a6fcb68d2c56aa82e48a53,99,78,221,freshman,24,9,46
5ea5f459-710e-489f-9973-c276ac874221,Felix Steele,Felix,Steele,South Lancaster,69a6fcb68d2c56aa82e48a59,21,71,188,junior,44,81,68
c1625529-4539-4e99-aedd-5b54235bfd6a,Eli Minutes,Eli,Minutes,Xavien,69a6fcb68d2c56aa82e48a57,7,72,185,senior,45,10,47
a2aa2719-0f09-47d7-8c99-ad208f20b847,Warren Davis,Warren,Davis,Four Corners,69a6fcb68d2c56aa82e48a55,42,79,265,senior,80,9,67
a3e25093-32f8-4933-865d-ff32c813d627,Sonny Carrozza,Sonny,Carrozza,South Lancaster,69a6fcb68d2c56aa82e48a59,29,70,190,junior,22,51,44
2773f3d4-1b64-4b29-ac1d-37043c17438d,Kenneth O'Callahan,Kenneth,O'Callahan,South Lancaster,69a6fcb68d2c56aa82e48a59,7,68,162,senior,11,20,42
eefc46cc-42f6-468a-93ff-96286eec18b9,Brian Jeffries,Brian,Jeffries,Xavien,69a6fcb68d2c56aa82e48a57,1,69,171,sophomore,20,52,45
030d9bd9-125d-4ad5-a49c-12b528d7ae89,Paul Pavelka,Paul,Pavelka,Four Corners,69a6fcb68d2c56aa82e48a55,17,72,176,junior,17,19,50
f369adfc-6cb6-4c9e-8725-dee69f5801aa,Terry Axelford,Terry,Axelford,South Lancaster,69a6fcb68d2c56aa82e48a59,43,76,228,junior,61,21,62
b78c7115-a7ad-4bb1-98a7-822e88d5ecc0,Scott Swensen,Scott,Swensen,Xavien,69a6fcb68d2c56aa82e48a57,24,74,204,senior,70,71,69
3a910b40-f05c-4624-9555-aeb13faf56e6,Kevin Nelson,Kevin,Nelson,Morristown,69a6fcb68d2c56aa82e48a56,33,70,174,sophomore,35,71,71
1b444605-7f6e-495f-af71-4108eadbc89a,JR Crawford,JR,Crawford,South Lancaster,69a6fcb68d2c56aa82e48a59,34,70,180,sophomore,31,18,44
c5242a24-b0fa-48ce-b148-299103be4221,Steven Martinez,Steven,Martinez,Xavien,69a6fcb68d2c56aa82e48a57,36,69,168,junior,14,82,37
88ab7e7e-c3ef-4f45-ab85-0814891fddb8,Omar Nola,Omar,Nola,Bentley-Truman,69a6fcb68d2c56aa82e48a52,17,76,207,junior,70,55,61
c6467e5b-fd10-46e3-88a0-9941391cc6b7,Jeffrey Jackson,Jeffrey,Jackson,Four Corners,69a6fcb68d2c56aa82e48a55,34,76,227,senior,82,71,82
b97f8a36-2532-4fe9-af35-5f42ab24a737,Frankie Herndon,Frankie,Herndon,Little York,69a6fcb68d2c56aa82e48a58,21,73,181,sophomore,16,19,44
29654adb-54cf-4584-85cc-976e8bada5cc,Cedrick McBurns,Cedrick,McBurns,Little York,69a6fcb68d2c56aa82e48a58,15,70,168,senior,12,13,50
b3fab5a0-9a2e-41f8-89d4-271eaaceb6ad,Carlton Bonner,Carlton,Bonner,Morristown,69a6fcb68d2c56aa82e48a56,34,81,248,senior,93,29,90
0ebe584c-1baf-41aa-b270-f48549527ecf,Michael Garza,Michael,Garza,Morristown,69a6fcb68d2c56aa82e48a56,25,69,178,sophomore,11,40,31
da0cf556-b8b9-47d1-91f9-a80595359f4e,Norris Khan,Norris,Khan,Lancaster,69a6fcb68d2c56aa82e48a54,23,74,186,sophomore,52,75,64
2b2c829f-d990-4463-9fa7-679126f14f58,Wallace Farrabee,Wallace,Farrabee,Little York,69a6fcb68d2c56aa82e48a58,33,75,217,sophomore,70,27,68
e78e967d-86f8-4f31-b5f3-2729ac5c3ecb,Mose Hawkins,Mose,Hawkins,Morristown,69a6fcb68d2c56aa82e48a56,43,67,158,senior,36,70,76
79c6c5c9-43a2-4d8a-b7f9-337231091e64,Von Sanborn,Von,Sanborn,Bentley-Truman,69a6fcb68d2c56aa82e48a52,25,70,168,sophomore,24,72,58
31699ab9-3855-44ae-87dc-76a6bca3190e,Jerry O'Neal,Jerry,O'Neal,Little York,69a6fcb68d2c56aa82e48a58,3,68,159,freshman,14,29,38
d9449124-4ca6-4437-b192-554be3a5d00a,Damon Martin,Damon,Martin,Lancaster,69a6fcb68d2c56aa82e48a54,22,73,213,junior,90,14,55
df743fbc-109b-460c-8b00-c0b5c2d324bc,Ferdinand Steele,Ferdinand,Steele,South Lancaster,69a6fcb68d2c56aa82e48a59,12,70,179,junior,25,76,66
0add5f1e-8da2-486e-8927-ced609e0c6cc,Neel Baldwin,Neel,Baldwin,South Lancaster,69a6fcb68d2c56aa82e48a59,1,78,228,senior,65,12,72
17694da1-cf52-4934-8755-aaddb23e7cd0,Peter Gregory,Peter,Gregory,Morristown,69a6fcb68d2c56aa82e48a56,1,72,198,junior,55,84,71
8487cb3b-887b-472a-90d9-f46caa572d46,Xenon Fletcher,Xenon,Fletcher,Bentley-Truman,69a6fcb68d2c56aa82e48a52,0,72,175,senior,32,80,89
7c0baaab-a1fc-474c-ae39-735fa77f223c,Quinn Aldrete,Quinn,Aldrete,Ocean City,69a6fcb68d2c56aa82e48a53,44,76,230,junior,94,18,65
ca3259d3-5a3d-48b6-875b-1c16d591c535,Craig James,Craig,James,Ocean City,69a6fcb68d2c56aa82e48a53,16,72,180,senior,27,18,39
acbbd4d6-d841-4217-9fe6-7a73ce5e1f8b,Booker Preston,Booker,Preston,Ocean City,69a6fcb68d2c56aa82e48a53,7,71,182,freshman,5,12,32
4c985ddd-4f6e-4be7-8476-8b8be842724e,Teddy Spielman,Teddy,Spielman,Little York,69a6fcb68d2c56aa82e48a58,5,72,190,junior,50,61,39
27f01228-279c-4e5b-b463-99f578dd88c8,Marlin McDonough,Marlin,McDonough,Xavien,69a6fcb68d2c56aa82e48a57,18,73,200,senior,42,9,52
1cab89f0-f2b2-4c45-8d31-6e38746c4477,Clint Workman,Clint,Workman,Bentley-Truman,69a6fcb68d2c56aa82e48a52,20,73,185,sophomore,45,86,52
d664ffa7-8320-4050-97bb-bc4ff162b5cf,Jayson Dutta,Jayson,Dutta,Little York,69a6fcb68d2c56aa82e48a58,54,74,200,freshman,21,14,37
69e37c36-77cd-4d9d-ae97-0ab85d27f5b9,Nate Reardon,Nate,Reardon,Xavien,69a6fcb68d2c56aa82e48a57,30,74,205,senior,38,11,47
1b15ccb9-17b1-492c-a0c4-e82b3d368079,CJ Castleman,CJ,Castleman,Bentley-Truman,69a6fcb68d2c56aa82e48a52,44,76,218,senior,79,26,77
2f7736fc-8bf6-45ea-814f-d32179ad4fc7,Leonard Tibbits,Leonard,Tibbits,Four Corners,69a6fcb68d2c56aa82e48a55,12,70,179,junior,20,46,44
a490f32e-54e3-44d3-b805-b3e43b524fda,Prince Baez,Prince,Baez,Four Corners,69a6fcb68d2c56aa82e48a55,8,73,173,sophomore,21,50,34
7acb9670-0995-45e3-8ca8-1c7f8a601f92,Jeremy Johnson,Jeremy,Johnson,Lancaster,69a6fcb68d2c56aa82e48a54,41,74,203,senior,24,13,36
7c10c995-0d1a-4c1b-b4eb-7198ad81c9b2,Ellis Clemons,Ellis,Clemons,Lancaster,69a6fcb68d2c56aa82e48a54,4,70,177,freshman,8,35,31
1ac0782e-e1b3-4cb6-9462-b1ff032ed9ed,Emery Landraneau,Emery,Landraneau,Little York,69a6fcb68d2c56aa82e48a58,88,80,244,senior,89,11,79
1a4c430b-b160-42a5-9de7-759e64726a81,Manual Roose,Manual,Roose,Little York,69a6fcb68d2c56aa82e48a58,9,73,188,senior,13,12,35
fa15e712-21f7-4e6f-951d-b5fb3bb45812,Trent Athens,Trent,Athens,Bentley-Truman,69a6fcb68d2c56aa82e48a52,7,75,202,senior,45,71,86
f4c14001-290b-4e61-a8e8-2d57ab6cab91,Siran Stanhope,Siran,Stanhope,South Lancaster,69a6fcb68d2c56aa82e48a59,5,73,182,freshman,34,29,42
5333d083-f227-45cf-b875-0947a413c859,Roberto You,Roberto,You,Four Corners,69a6fcb68d2c56aa82e48a55,53,74,209,senior,69,27,69
20cdb34e-4f62-47ef-889c-729045d6359b,Alex Thomas,Alex,Thomas,Morristown,69a6fcb68d2c56aa82e48a56,5,70,170,sophomore,8,31,46
